id,coupon_code,amount,is_used,used_by,created_by,created_at,used_at,expiry_date,description
1,A97204081,1000.0,1,1.0,1,2025-08-18 00:00:42,2025-08-28 03:45:36,2026-08-18 00:00:42.208093,"كوبون بقيمة 1,000 ريال"
2,A64510919,1000.0,1,4.0,1,2025-08-21 17:15:14,2025-08-21 17:15:40,2026-08-21 17:15:14.271759,"كوبون بقيمة 1,000 ريال"
3,A41006528,10000.0,1,3.0,1,2025-08-27 22:35:10,2025-08-29 00:29:44,2026-08-27 22:35:10.173255,"كوبون بقيمة 10,000 ريال"
4,CVBG5JSC,50.0,1,1.0,1,2025-08-28 01:55:52,2025-08-31 05:49:31,2025-09-27T01:55:52.052025,كوبون سريع 50 ريال
5,HM3GLZYI,25.0,0,,1,2025-08-28 01:59:27,,2025-09-27T01:59:27.207038,كوبون سريع 25 ريال
6,KBSSCENZ,25.0,0,,1,2025-08-28 02:10:50,,2025-09-27T02:10:50.566181,كوبون سريع 25 ريال
7,6RJBTT7I,100.0,0,,1,2025-08-29 00:05:41,,2025-09-28T00:05:41.098609,كوبون سريع 100 ريال
8,A73596554,10.0,0,,1,2025-08-31 03:22:53,,2025-09-30T03:22:53.396241,كوبون سريع 10 ريال
9,A84576250,25.0,1,3.0,1,2025-08-31 03:23:00,2025-08-31 03:23:29,2025-09-30T03:23:00.277273,كوبون سريع 25 ريال
10,A40725728,100.0,1,1.0,1,2025-08-31 03:59:49,2025-08-31 03:59:59,2025-09-30T03:59:49.078505,كوبون سريع 100 ريال
11,A44753688,100.0,1,1.0,1,2025-08-31 04:47:35,2025-08-31 04:47:50,2025-09-30T04:47:35.940800,كوبون سريع 100 ريال
12,A76523528,25.0,1,1.0,1,2025-08-31 05:46:15,2025-08-31 05:46:28,2025-09-30T05:46:15.377874,كوبون سريع 25 ريال
13,A91392398,100.0,0,,1,2025-09-01 00:35:22,,2025-10-01T00:35:22.431448,كوبون سريع 100 ريال
14,A19801741,100.0,1,1.0,1,2025-09-01 00:35:45,2025-09-01 00:35:57,2025-10-01T00:35:45.106056,كوبون سريع 100 ريال
